1000,4215.400000
1100,3024.600000
1200,5302.600000
1300,5678.200000
1400,6036.800000
1500,6457.400000
1600,7309.800000
1700,7495.400000
1800,8002.800000
1900,8357.200000
2000,9572.800000
2100,9439.000000
2200,9903.200000
2300,10951.800000
2400,11343.600000
2500,11999.400000
2600,13034.000000
2700,13621.400000
2800,14150.200000
2900,15326.000000
3000,16199.000000
3100,13847.200000
3200,17730.800000
3300,18104.400000
3400,20823.000000
3500,18715.200000
3600,20767.400000
3700,21130.600000
3800,22207.800000
3900,24121.600000
4000,28842.800000
4100,29238.800000
4200,30442.200000
4300,31175.000000
4400,31099.000000
4500,31156.200000
4600,32033.800000
4700,33681.800000
4800,33413.400000
4900,33787.800000
5000,35041.200000
5100,35184.000000
5200,34027.200000
5300,30113.600000
5400,31709.200000
5500,32965.000000
5600,33268.600000
5700,31212.000000
5800,30359.400000
5900,30375.400000
6000,30181.800000
6100,30121.600000
6200,32088.400000
6300,33157.400000
6400,33405.200000
6500,39261.600000
6600,37755.600000
6700,37810.000000
6800,31139.800000
6900,37638.800000
7000,37728.200000
7100,41447.400000
7200,39833.000000
7300,38661.600000
7400,37957.600000
7500,43781.200000
7600,46034.600000
7700,45286.000000
7800,44551.400000
7900,43533.400000
8000,44978.800000
8100,43371.800000
8200,43645.000000
8300,45556.800000
8400,45598.600000
8500,44713.200000
8600,43314.000000
8700,43349.200000
8800,48277.000000
8900,45723.000000
9000,47133.200000
9100,47000.200000
9200,47229.400000
9300,47224.000000
9400,50988.400000
9500,49881.800000
9600,52980.000000
9700,50851.400000
9800,49646.400000
9900,50383.800000
