1000,205266.000000
1100,73356.666667
1200,83728.666667
1300,219348.000000
1400,104928.000000
1500,121327.333333
1600,325578.000000
1700,150245.333333
1800,175343.333333
1900,249143.333333
2000,238492.000000
2100,258096.000000
2200,293693.333333
2300,300726.000000
2400,380656.666667
2500,458057.333333
2600,439732.666667
2700,451909.333333
2800,465927.333333
2900,498784.000000
3000,854921.333333
3100,628281.333333
3200,625827.333333
3300,710209.333333
3400,746996.000000
3500,793744.000000
3600,794188.000000
3700,823540.666667
3800,998138.666667
3900,2411826.000000
4000,1541010.666667
4100,1847434.666667
4200,1637570.000000
4300,1590455.333333
4400,1753798.666667
4500,1840884.666667
4600,1973076.666667
4700,2494278.000000
4800,2587088.000000
4900,2600894.666667
5000,2474413.333333
5100,2422112.666667
5200,2668643.333333
5300,3005459.333333
5400,3405928.000000
5500,2990407.333333
5600,3424326.000000
5700,3150276.000000
5800,3335144.666667
5900,3350746.666667
6000,3290048.666667
6100,3775416.000000
6200,6806468.666667
6300,4227530.000000
6400,3994200.000000
6500,4733737.333333
6600,4833115.333333
6700,5106278.666667
6800,4962636.666667
6900,4943402.000000
7000,4633768.666667
7100,5050343.333333
7200,5539236.666667
7300,5868520.666667
7400,5463157.333333
7500,6069567.333333
7600,5718873.333333
7700,7520855.333333
7800,6260919.333333
7900,5952728.000000
8000,6398781.333333
8100,6869271.333333
8200,7881762.666667
8300,7905937.333333
8400,8234049.333333
8500,7689945.333333
8600,10061007.333333
8700,7731014.000000
8800,8183766.000000
8900,8421959.333333
9000,8270154.000000
9100,8474478.666667
9200,9724190.000000
9300,9575382.666667
9400,9241605.333333
9500,8946381.333333
9600,9302470.666667
9700,9359135.333333
9800,10488292.000000
9900,10976186.666667
