1000,3956.800000
1100,4259.600000
1200,3399.200000
1300,3688.400000
1400,3983.200000
1500,4276.400000
1600,4574.000000
1700,4870.600000
1800,5221.200000
1900,5477.600000
2000,5750.600000
2100,6047.800000
2200,6475.200000
2300,6658.800000
2400,7183.600000
2500,7299.400000
2600,7524.000000
2700,8104.400000
2800,8401.400000
2900,8736.800000
3000,8774.200000
3100,9004.800000
3200,9390.000000
3300,10958.800000
3400,11193.400000
3500,11529.400000
3600,11633.800000
3700,12012.200000
3800,12187.200000
3900,12156.600000
4000,12363.000000
4100,12559.400000
4200,12342.000000
4300,13229.200000
4400,13242.600000
4500,13186.800000
4600,13493.200000
4700,13484.600000
4800,13726.200000
4900,14095.400000
5000,12244.800000
5100,15105.000000
5200,14998.600000
5300,15417.000000
5400,17338.200000
5500,17381.400000
5600,16966.400000
5700,17234.600000
5800,17927.200000
5900,17884.800000
6000,17638.800000
6100,18310.000000
6200,18401.600000
6300,18985.400000
6400,15698.400000
6500,19127.400000
6600,19826.800000
6700,21718.000000
6800,19519.000000
6900,20530.200000
7000,20586.400000
7100,21567.000000
7200,21589.600000
7300,21451.800000
7400,22374.600000
7500,22241.600000
7600,22599.200000
7700,23444.000000
7800,23376.000000
7900,26303.800000
8000,26159.600000
8100,24933.800000
8200,24259.200000
8300,24596.600000
8400,24323.600000
8500,25685.000000
8600,25522.000000
8700,25952.400000
8800,25351.000000
8900,26501.000000
9000,26761.400000
9100,29843.800000
9200,30502.400000
9300,29620.400000
9400,27646.000000
9500,28060.800000
9600,28633.400000
9700,29186.600000
9800,29072.800000
9900,30072.000000
